AGENCE;EXPL;CLIENT;CODAPE;IDP;ANOMALIE_AGE;ANOMALIE_DATE_EER;ANOMALIE_CIN;;
1017;J1;695365;Autres services NCA;122646;;;ANOMALIE - Document d'identité expiré;;
1017;EG;187254;PARTICULIERS SALARIES;26174;;;ANOMALIE - Document d'identité expiré;;
1017;EG;581795;Particuliers non commerciaux;976566;;;ANOMALIE - Document d'identité expiré;;
1017;SR;680208;PARTICULIERS SALARIES;53697;;;ANOMALIE - Document d'identité expiré;;
1017;SR;577350;;123814;;;ANOMALIE - Document d'identité expiré;;
1017;SR;131916;PARTICULIERS SALARIES;78070;;;ANOMALIE - Document d'identité expiré;;
1017;SR;603700;Autres services NCA;123837;;;ANOMALIE - Document d'identité expiré;;
1017;SR;577420;;124818;;;ANOMALIE - Document d'identité expiré;;
1017;SR;814837;Autres services NCA;103540;;;ANOMALIE - Document d'identité expiré;;
1017;SR;139110;PARTICULIERS SALARIES;125227;;;ANOMALIE - Document d'identité expiré;;
1017;SR;577027;Autres services NCA;119325;;;ANOMALIE - Document d'identité expiré;;
1017;SR;577427;;124990;;;ANOMALIE - Document d'identité expiré;;
1017;SR;577454;;125538;;;ANOMALIE - Document d'identité expiré;;
1017;SR;577481;;125676;;;ANOMALIE - Document d'identité expiré;;
1017;SR;577243;Etat;122505;;;ANOMALIE - Document d'identité expiré;;
1017;SR;577077;Autres services NCA;120301;;;ANOMALIE - Document d'identité expiré;;
1017;SR;577048;Enseignement universitaire;119908;;;ANOMALIE - Document d'identité expiré;;
1017;SR;577014;COMMERCE DE DETAIL;119097;;;ANOMALIE - Document d'identité expiré;;
1017;SR;578066;;135345;;;ANOMALIE - Document d'identité expiré;;
1017;SR;577754;;130471;;;ANOMALIE - Document d'identité expiré;;
1017;SR;577934;Autres services NCA;133647;;;ANOMALIE - Document d'identité expiré;;
1017;SR;578149;;136822;;;ANOMALIE - Document d'identité expiré;;
1017;SR;578423;;143065;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;578250;;139213;;;ANOMALIE - Document d'identité expiré;;
1017;SR;578457;;143291;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;578343;;141152;;;ANOMALIE - Document d'identité expiré;;
1017;SR;578760;Autres services NCA;149870;;;ANOMALIE - Document d'identité expiré;;
1017;SR;578595;;145846;;;ANOMALIE - Document d'identité expiré;;
1017;SR;578738;;90678;;;ANOMALIE - Document d'identité expiré;;
1017;SR;578738;;149494;;;ANOMALIE - Document d'identité expiré;;
1017;SR;578763;;149963;;;ANOMALIE - Document d'identité expiré;;
1017;SR;904931;Autres services NCA;150747;;;ANOMALIE - Document d'identité expiré;;
1017;SR;578562;;145079;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;578797;;151381;;;ANOMALIE - Document d'identité expiré;;
1017;SR;578881;Autres services NCA;153454;;;ANOMALIE - Document d'identité expiré;;
1017;SR;578949;;156809;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579068;;159575;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579000;;158326;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;579058;;159195;;;ANOMALIE - Document d'identité expiré;;
1017;SR;578965;;157684;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579105;;160915;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579287;Autres services NCA;165172;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579390;;167148;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579355;;166749;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579404;;167466;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579373;;166928;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579408;;167368;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579596;;169801;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579503;;168889;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579591;;169744;ANOMALIE - Mineur de plus de 21 ans;;ANOMALIE - Document d'identité expiré;;
1017;SR;579572;;169520;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579573;;169524;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579486;;168453;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579581;;169617;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579539;;169126;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579615;;170059;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;579619;;170149;ANOMALIE - Mineur de plus de 21 ans;;;;
1017;SR;579852;;172731;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580021;;174884;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579964;;174101;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579738;;171568;ANOMALIE - Mineur de plus de 21 ans;;ANOMALIE - Document d'identité expiré;;
1017;SR;579883;;173084;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580219;;179088;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579805;;172298;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580071;;176008;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579755;Autres services NCA;171757;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579928;;173652;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580191;;178240;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580102;;176070;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580010;;174731;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580200;;178477;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580134;;176641;;;ANOMALIE - Document d'identité expiré;;
1017;SR;579867;;172887;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580265;;181279;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580323;;183292;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580392;;185663;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580488;;188239;;;ANOMALIE - Document d'identité expiré;;
1017;SR;578741;;149611;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580370;;184906;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580615;;191264;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580589;;190716;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580772;;196258;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580754;;195897;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580673;;193179;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580761;;196086;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580640;;192042;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580813;;197535;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580824;;197997;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580876;Particuliers non commerciaux;199091;;;ANOMALIE - Document d'identité expiré;;
1017;SR;580975;Particuliers non commerciaux;933941;;;ANOMALIE - Document d'identité expiré;;
